target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,rna,MT2A,5.2572900502675287e-05,IntegratedGradients
Erlotinib,0,,rna,AP1S2,0.00013429054386142043,IntegratedGradients
Erlotinib,0,,rna,AFF3,0.0001306411574388812,IntegratedGradients
Erlotinib,0,,rna,MAP7,0.00016566415305597403,IntegratedGradients
Erlotinib,0,,rna,LYST,0.00013165773587426897,IntegratedGradients
Erlotinib,0,,rna,POU2AF1,0.00030703171542322347,IntegratedGradients
Erlotinib,0,,rna,BCL11A,6.865692520465103e-05,IntegratedGradients
Erlotinib,0,,rna,MCCC2,0.0001260299211897751,IntegratedGradients
Erlotinib,0,,rna,GADD45B,0.00019334887837335382,IntegratedGradients
Erlotinib,0,,rna,NRXN1,4.4553052742591495e-05,IntegratedGradients
Erlotinib,0,,rna,PTN,0.0003290620653864217,IntegratedGradients
Erlotinib,0,,rna,HEBP1,0.00013334656455333632,IntegratedGradients
Erlotinib,0,,rna,NR3C1,7.088483645253654e-05,IntegratedGradients
Erlotinib,0,,rna,CD38,9.932931476781649e-05,IntegratedGradients
Erlotinib,0,,rna,CRYAB,0.0001716807025286249,IntegratedGradients
Erlotinib,0,,rna,GNAS,6.740529217984945e-06,IntegratedGradients
Erlotinib,0,,rna,DST,7.107527948178412e-05,IntegratedGradients
Erlotinib,0,,rna,SLC27A2,0.00011183452064542083,IntegratedGradients
Erlotinib,0,,rna,HOOK1,0.0002876989781517879,IntegratedGradients
Erlotinib,0,,rna,CAST,0.00033376546881171067,IntegratedGradients
Erlotinib,0,,rna,PDGFRB,0.00018961447309261243,IntegratedGradients
Erlotinib,0,,rna,EPB41,9.274421713314516e-05,IntegratedGradients
Erlotinib,0,,rna,RTN4,2.7846259000976184e-05,IntegratedGradients
Erlotinib,0,,rna,CD79A,0.00012414913253196538,IntegratedGradients
Erlotinib,0,,rna,ARHGAP29,0.00038468210298618166,IntegratedGradients
Erlotinib,0,,rna,NUAK2,7.591747599489154e-05,IntegratedGradients
Erlotinib,0,,rna,HLA-DOA,0.00011905049706192434,IntegratedGradients
Erlotinib,0,,rna,KLF1,9.42019184629094e-05,IntegratedGradients
Erlotinib,0,,rna,CD3G,0.00011006750057735496,IntegratedGradients
Erlotinib,0,,rna,ACSM3,3.300703890677219e-05,IntegratedGradients
Erlotinib,0,,rna,PLEKHA6,0.00024294573929854377,IntegratedGradients
Erlotinib,0,,rna,ANO10,0.00018997713673960252,IntegratedGradients
Erlotinib,0,,rna,PBX1,0.00011490687515367384,IntegratedGradients
Erlotinib,0,,rna,ARHGAP25,0.00013718071612140345,IntegratedGradients
Erlotinib,0,,rna,KLF3,0.00026197873656712804,IntegratedGradients
Erlotinib,0,,rna,PTPN7,0.00015159086589517265,IntegratedGradients
Erlotinib,0,,rna,WSB2,4.6711534041893173e-05,IntegratedGradients
Erlotinib,0,,rna,GNAI1,0.0001039817734510192,IntegratedGradients
Erlotinib,0,,rna,NET1,7.31157595110433e-05,IntegratedGradients
Erlotinib,0,,rna,CLDN3,0.00016679114908966974,IntegratedGradients
Erlotinib,0,,rna,FLI1,0.00017513452417423832,IntegratedGradients
Erlotinib,0,,rna,SLC9A3R1,6.865099366289262e-05,IntegratedGradients
Erlotinib,0,,rna,ARHGAP15,0.00011595697634970139,IntegratedGradients
Erlotinib,0,,rna,GZMB,7.082688190502175e-05,IntegratedGradients
Erlotinib,0,,rna,FRAT2,0.0001326026438366157,IntegratedGradients
Erlotinib,0,,rna,RNASE6,0.00017527490995166076,IntegratedGradients
Erlotinib,0,,rna,IKZF1,0.00011511878988602604,IntegratedGradients
Erlotinib,0,,rna,TAX1BP3,0.00021418943613534943,IntegratedGradients
Erlotinib,0,,rna,IER3,2.7626524228415614e-05,IntegratedGradients
Erlotinib,0,,rna,ZEB1,8.185904270822791e-05,IntegratedGradients
Erlotinib,0,,rna,HEG1,0.00016190947690561668,IntegratedGradients
